name,id_cykelknudepkt,x,y,igraph_index,distance_to_osm_m
29,"['vk2551', 'vk2552', 'vk2550']",863655.063,6122019.882,27,11.595938372168483
20,"['vk2571', 'vk2570', 'vk2569', 'vk2568', 'vk2829', 'vk2827', 'vk2830', 'vk2828']",863748.456,6120201.899,15,11.2757790501716
42,"['vk2819', 'vk2572', 'vk2573', 'vk2818']",869333.548,6129581.457,41,6.5775083853437355
31,['vk2561'],878246.97,6124408.01,28,3.5849797998797226
43,"['vk2841', 'vk2842', 'vk2843', 'vk2608', 'vk2609']",883259.937,6130890.315,42,1.9355988777149058
48,['vk2540'],872750.04,6132500.24,49,1.3081471264179092
4,['vk2755'],886896.12,6114528.37,4,1.2003274945951414
17,['vk2596'],873572.39,6118111.61,14,1.0137327316739142
46,"['vk2576', 'vk4555', 'vk4557']",863127.25,6130453.51,45,0.870837963836422
28,['vk2582'],871357.39,6122102.89,31,0.8645156023951684
39,['vk2604'],891428.6,6127188.27,38,0.844727725484682
41,['vk2589'],875831.95,6129449.51,46,0.8187317237128112
9,"['vk2558', 'vk2559']",881379.18,6116660.56,10,0.6940685246634651
57,"['vk2813', 'vk2689']",868212.46,6140445.92,57,0.645152668554544
10,['vk2754'],887180.61,6116397.85,9,0.621036303668567
25,['vk2600'],883290.95,6121812.95,21,0.6069412755062021
36,['vk2587'],869905.36,6126431.09,35,0.6049102243722106
44,['vk2588'],875087.09,6129523.86,43,0.6026068754131282
14,['vk2599'],882680.02,6116802.11,16,0.5834389980460102
45,['vk2580'],868101.69,6129864.16,44,0.5794801912084283
