edge_id,source,target,link_length_m,coverage_pct,overlap_class
65,40,47,10499.526788671958,94.0277480688813,Matched (≥90%)
88,57,58,3707.1919748156333,97.75521224989753,Matched (≥90%)
49,27,37,6263.732103991008,98.23390934615148,Matched (≥90%)
25,12,14,6357.479643642535,98.8580537358296,Matched (≥90%)
46,30,34,5389.031776682791,99.55296211564874,Matched (≥90%)
37,23,29,199.67017090439336,99.99999999999999,Matched (≥90%)
35,23,24,3919.84645900358,99.99999999999999,Matched (≥90%)
68,41,44,1356.352119804237,99.99999999999999,Matched (≥90%)
19,9,18,2787.060074614086,99.99999999999999,Matched (≥90%)
12,7,11,6181.672759497632,99.99999999999999,Matched (≥90%)
62,37,45,3049.355065208723,100.0,Matched (≥90%)
61,37,44,5198.952469175852,100.0,Matched (≥90%)
56,36,41,4661.3251151689055,100.0,Matched (≥90%)
59,35,43,9505.70583111265,100.0,Matched (≥90%)
54,34,40,396.64433403395043,100.0,Matched (≥90%)
57,33,39,10242.440881933428,100.0,Matched (≥90%)
60,33,38,481.6213433863563,100.0,Matched (≥90%)
53,32,39,2552.2344031322837,100.0,Matched (≥90%)
47,31,35,6434.1517998567215,100.0,Matched (≥90%)
45,30,31,4318.496056892743,100.0,Matched (≥90%)
